function	P10F2	P10F3	P10F4	P1F1	P1F2	P1F3	P1F4	P1F5	P2F3	P3F1	P3F2	P3F3	P3F4	P3F5	P4F1	P4F2	P4F3	P4F4	P4F5	P5F1	P5F2	P5F3	P5F4	P5F5	P6F1	P6F2	P6F3	P6F4	P7F1	P7F2	P7F3	P7F4	P7F5	P8F1	P8F2	P8F3	P8F4	P9F1	P9F2	P9F3	P9F4	P9F5
RXN-16402	13696.210000000005	12.0	9832.28	16677.469999999998	11255.120000000004	16159.020000000004	14487.64	20966.66	15858.94	6882.4000000000015	2234.24	9261.000000000004	9485.89	15323.55	18.0	21740.32	15866.11	9787.02	14751.020000000002	10545.679999999997	14915.24	14055.23	13737.04	8988.68	4202.82	18912.69	9408.2	12430.05	6688.71	9745.880000000003	12569.370000000004	6752.880000000003	6811.470000000002	17235.410000000003	17368.1	12567.32	8782.03	7814.070000000002	11099.83	8759.980000000001	15491.69	6751.89
RXN-16415	13696.210000000005	12.0	9832.28	16677.469999999998	11255.120000000004	16159.020000000004	14487.64	20966.66	15858.94	6882.4000000000015	2234.24	9261.000000000004	9485.89	15323.55	18.0	21740.32	15866.11	9787.02	14751.020000000002	10545.679999999997	14915.24	14055.23	13737.04	8988.68	4202.82	18912.69	9408.2	12430.05	6688.71	9745.880000000003	12569.370000000004	6752.880000000003	6811.470000000002	17235.410000000003	17368.1	12567.32	8782.03	7814.070000000002	11099.83	8759.980000000001	15491.69	6751.89
RXN-16418	13696.210000000005	12.0	9832.28	16677.469999999998	11255.120000000004	16159.020000000004	14487.64	20966.66	15858.94	6882.4000000000015	2234.24	9261.000000000004	9485.89	15323.55	18.0	21740.32	15866.11	9787.02	14751.020000000002	10545.679999999997	14915.24	14055.23	13737.04	8988.68	4202.82	18912.69	9408.2	12430.05	6688.71	9745.880000000003	12569.370000000004	6752.880000000003	6811.470000000002	17235.410000000003	17368.1	12567.32	8782.03	7814.070000000002	11099.83	8759.980000000001	15491.69	6751.89
RXN-16420	1605.46	0.0	1187.5099999999998	2583.58	1842.95	1981.66	2399.67	3098.11	2212.92	1274.79	96.24	1276.08	1305.4799999999998	1786.01	0.0	2409.9	2004.14	1611.39	1523.87	2715.3099999999995	2862.61	2991.5299999999993	2365.96	1518.64	723.03	1863.35	1558.57	761.6500000000002	1770.7000000000005	2801.4000000000005	2566.53	1311.7400000000002	1242.2099999999996	1616.9	2215.9	1370.4699999999998	1429.84	1023.65	1503.37	1214.4199999999996	2585.15	1256.4
RXN-16427	4991.950000000002	4.0	3357.4800000000005	7584.53	5055.050000000001	9054.600000000002	5529.250000000001	9821.9	6497.660000000003	2443.5600000000004	1646.16	3820.180000000001	4350.210000000001	8402.039999999999	4.0	7386.300000000001	5709.01	4190.050000000001	5176.3600000000015	3675.470000000001	5582.81	4987.990000000002	4784.530000000002	3498.92	1944.5099999999993	6453.17	3166.7700000000013	5420.34	2626.59	4107.620000000001	4587.1500000000015	2319.03	2382.880000000001	6960.79	5651.720000000001	4767.09	3758.89	3263.360000000001	4232.5	3306.400000000001	5831.33	3041.1700000000014
RXN-16456	4991.950000000002	4.0	3357.4800000000005	7584.53	5055.050000000001	9054.600000000002	5529.250000000001	9821.9	6497.660000000003	2443.5600000000004	1646.16	3820.180000000001	4350.210000000001	8402.039999999999	4.0	7386.300000000001	5709.01	4190.050000000001	5176.3600000000015	3675.470000000001	5582.81	4987.990000000002	4784.530000000002	3498.92	1944.5099999999993	6453.17	3166.7700000000013	5420.34	2626.59	4107.620000000001	4587.1500000000015	2319.03	2382.880000000001	6960.79	5651.720000000001	4767.09	3758.89	3263.360000000001	4232.5	3306.400000000001	5831.33	3041.1700000000014
RXN-16471	4926.68	8.0	3412.5200000000013	4561.16	3420.800000000001	3551.430000000001	5176.300000000001	6429.63	6122.710000000001	2694.5000000000005	329.45	3147.07	2525.69	4326.12	12.0	9001.519999999999	6147.59	3946.3	7352.140000000001	3733.66	5600.77	5169.82	4897.0700000000015	3204.4300000000007	1879.0	9177.04	2508.43	4836.0	2832.69	4232.35	4160.190000000001	2631.5400000000004	2271.350000000001	5161.27	7042.68	4618.52	3357.2000000000007	2555.61	4116.99	3252.19	4864.09	2116.56
RXN-16483	127.0	0.0	74.5	72.0	88.0	68.5	121.0	115.5	236.5	30.5	2.0	49.5	54.5	86.0	0.0	124.5	110.5	131.0	64.5	80.0	79.5	63.5	83.5	74.0	71.0	52.5	74.0	72.0	78.0	69.5	152.5	41.0	50.0	108.0	108.5	113.0	154.5	27.5	40.0	32.0	134.5	49.0
RXN-16485	123.0	0.0	72.67	130.34	98.01	108.35	148.86	162.67999999999995	123.19	34.0	4.0	37.52	37.84	97.35	0.0	210.55000000000007	136.0	80.19	158.98999999999995	63.68000000000001	145.82999999999996	127.17	48.33	48.68000000000001	27.18	170.84999999999997	44.02000000000001	239.66	32.68000000000001	40.67	65.43	27.01	28.180000000000003	141.85	263.68	129.31	56.52	68.51	80.83	61.51000000000001	111.83	49.01000000000001
RXN-16512	123.0	0.0	72.67	130.34	98.01	108.35	148.86	162.67999999999995	123.19	34.0	4.0	37.52	37.84	97.35	0.0	210.55000000000007	136.0	80.19	158.98999999999995	63.68000000000001	145.82999999999996	127.17	48.33	48.68000000000001	27.18	170.84999999999997	44.02000000000001	239.66	32.68000000000001	40.67	65.43	27.01	28.180000000000003	141.85	263.68	129.31	56.52	68.51	80.83	61.51000000000001	111.83	49.01000000000001
