OD590	CarbonSource	IndivID
0.04	Itaconic Acid	158
0.042	Glycyl-L-Glutamic Acid	158
0.054	Glycogen	158
0.044	D-Glucosaminic Acid	158
0.097	Itaconic Acid	158
0.065	Glycyl-L-Glutamic Acid	158
0.061	D-Cellobiose	158
0.041	Glucose-1-Phosphate	158
0.047	a-Keto Butyric Acid	158
0.038	Phenethylamine	158
0.037	D-Cellobiose	158
0.04	Glucose-1-Phosphate	158
0.041	a-Keto Butyric Acid	158
0.039	Phenethylamine	158
0.045	D-Cellobiose	158
0.042	Glucose-1-Phosphate	158
0.055	a-Keto Butyric Acid	158
0.058	Phenethylamine	158
0.098	a-D-Lactose	158
0.042	D,L-a-Glycerol Phosphate	158
0.048	D-Malic Acid	158
0.113	Putrescine	158
0.039	a-D-Lactose	158
0.039	D,L-a-Glycerol Phosphate	158
0.042	D-Malic Acid	158
0.046	Putrescine	158
0.044	a-D-Lactose	158
0.044	D,L-a-Glycerol Phosphate	158
0.075	D-Malic Acid	158
0.196	Putrescine	158
0.043	Water	159
0.04	ß-Methyl-D-Glucoside	159
0.049	D-Galactonic Acid y-Lactone	159
0.041	L-Arginine	159
0.043	Water	159
0.042	ß-Methyl-D-Glucoside	159
0.048	D-Galactonic Acid y-Lactone	159
0.043	L-Arginine	159
0.046	Water	159
0.041	ß-Methyl-D-Glucoside	159
0.052	D-Galactonic Acid y-Lactone	159
0.041	L-Arginine	159
0.042	Pyruvic Acid Methyl Ester	159
0.048	D-Xylose	159
0.06	D-Galacturonic Acid	159
0.049	L-Asparagine	159
0.07	Pyruvic Acid Methyl Ester	159
0.045	D-Xylose	159
0.852	D-Galacturonic Acid	159
0.042	L-Asparagine	159
0.115	Pyruvic Acid Methyl Ester	159
0.047	D-Xylose	159
0.042	D-Galacturonic Acid	159
0.042	L-Asparagine	159
0.043	Tween 40	159
0.038	i-Erythritol	159
0.045	2-Hydroxy Benzoid Acid	159
0.039	L-Phenylalanine	159
0.045	Tween 40	159
0.042	i-Erythritol	159
0.042	2-Hydroxy Benzoid Acid	159
0.038	L-Phenylalanine	159
0.053	Tween 40	159
0.041	i-Erythritol	159
0.065	2-Hydroxy Benzoid Acid	159
0.042	L-Phenylalanine	159
0.048	Tween 80	159
0.04	D-Mannitol	159
0.041	4-Hydroxy Benzoid Acid	159
0.038	L-Serine	159
0.047	Tween 80	159
0.04	D-Mannitol	159
0.043	4-Hydroxy Benzoid Acid	159
0.042	L-Serine	159
0.053	Tween 80	159
0.046	D-Mannitol	159
0.059	4-Hydroxy Benzoid Acid	159
0.043	L-Serine	159
0.051	a-Cyclodextrin	159
0.04	N-Accetyl-D-Glucosamine	159
0.294	y-Amino Butyric Acid	159
0.041	L-Threonine	159
0.04	a-Cyclodextrin	159
0.038	N-Accetyl-D-Glucosamine	159
1.771	y-Amino Butyric Acid	159
0.042	L-Threonine	159
0.1	a-Cyclodextrin	159
1.149	N-Accetyl-D-Glucosamine	159
0.056	y-Amino Butyric Acid	159
0.041	L-Threonine	159
0.049	Glycogen	159
0.042	D-Glucosaminic Acid	159
0.058	Itaconic Acid	159
0.071	Glycyl-L-Glutamic Acid	159
2.425	Glycogen	159
0.041	D-Glucosaminic Acid	159
0.046	Itaconic Acid	159
0.042	Glycyl-L-Glutamic Acid	159
0.241	Glycogen	159
0.042	D-Glucosaminic Acid	159
0.065	Itaconic Acid	159
0.054	Glycyl-L-Glutamic Acid	159
0.049	D-Cellobiose	159
0.038	Glucose-1-Phosphate	159
0.042	a-Keto Butyric Acid	159
0.043	Phenethylamine	159
0.856	D-Cellobiose	159
0.042	Glucose-1-Phosphate	159
0.048	a-Keto Butyric Acid	159
0.042	Phenethylamine	159
0.065	D-Cellobiose	159
0.907	Glucose-1-Phosphate	159
0.059	a-Keto Butyric Acid	159
0.072	Phenethylamine	159
0.051	a-D-Lactose	159
0.045	D,L-a-Glycerol Phosphate	159
0.138	D-Malic Acid	159
0.041	Putrescine	159
0.775	a-D-Lactose	159
0.049	D,L-a-Glycerol Phosphate	159
0.04	D-Malic Acid	159
0.052	Putrescine	159
0.045	a-D-Lactose	159
0.069	D,L-a-Glycerol Phosphate	159
0.096	D-Malic Acid	159
0.092	Putrescine	159
0.045	Water	160
0.043	ß-Methyl-D-Glucoside	160
0.325	D-Galactonic Acid y-Lactone	160
0.06	L-Arginine	160
0.041	Water	160
0.046	ß-Methyl-D-Glucoside	160
0.046	D-Galactonic Acid y-Lactone	160
0.047	L-Arginine	160
0.049	Water	160
0.048	ß-Methyl-D-Glucoside	160
0.063	D-Galactonic Acid y-Lactone	160
0.048	L-Arginine	160
0.043	Pyruvic Acid Methyl Ester	160
0.048	D-Xylose	160
0.044	D-Galacturonic Acid	160
0.074	L-Asparagine	160
0.045	Pyruvic Acid Methyl Ester	160
0.102	D-Xylose	160
0.051	D-Galacturonic Acid	160
0.056	L-Asparagine	160
0.064	Pyruvic Acid Methyl Ester	160
0.055	D-Xylose	160
0.073	D-Galacturonic Acid	160
0.049	L-Asparagine	160
0.044	Tween 40	160
0.04	i-Erythritol	160
0.208	2-Hydroxy Benzoid Acid	160
0.106	L-Phenylalanine	160
0.056	Tween 40	160
0.061	i-Erythritol	160
0.069	2-Hydroxy Benzoid Acid	160
0.439	L-Phenylalanine	160
0.081	Tween 40	160
0.052	i-Erythritol	160
0.265	2-Hydroxy Benzoid Acid	160
0.077	L-Phenylalanine	160
0.048	Tween 80	160
0.043	D-Mannitol	160
0.107	4-Hydroxy Benzoid Acid	160
0.044	L-Serine	160
0.051	Tween 80	160
0.168	D-Mannitol	160
0.06	4-Hydroxy Benzoid Acid	160
0.096	L-Serine	160
0.064	Tween 80	160
0.053	D-Mannitol	160
0.197	4-Hydroxy Benzoid Acid	160
0.075	L-Serine	160
0.041	a-Cyclodextrin	160
0.044	N-Accetyl-D-Glucosamine	160
0.066	y-Amino Butyric Acid	160
0.076	L-Threonine	160
0.042	a-Cyclodextrin	160
0.08	N-Accetyl-D-Glucosamine	160
0.082	y-Amino Butyric Acid	160
0.07	L-Threonine	160
0.139	a-Cyclodextrin	160
0.05	N-Accetyl-D-Glucosamine	160
0.181	y-Amino Butyric Acid	160
0.066	L-Threonine	160
0.053	Glycogen	160
0.046	D-Glucosaminic Acid	160
0.056	Itaconic Acid	160
0.049	Glycyl-L-Glutamic Acid	160
0.06	Glycogen	160
0.085	D-Glucosaminic Acid	160
0.198	Itaconic Acid	160
0.386	Glycyl-L-Glutamic Acid	160
0.132	Glycogen	160
0.042	D-Glucosaminic Acid	160
0.206	Itaconic Acid	160
0.109	Glycyl-L-Glutamic Acid	160
0.059	D-Cellobiose	160
0.042	Glucose-1-Phosphate	160
0.052	a-Keto Butyric Acid	160
0.044	Phenethylamine	160
0.043	D-Cellobiose	160
0.051	Glucose-1-Phosphate	160
0.201	a-Keto Butyric Acid	160
0.052	Phenethylamine	160
0.103	D-Cellobiose	160
0.085	Glucose-1-Phosphate	160
0.188	a-Keto Butyric Acid	160
0.175	Phenethylamine	160
0.043	a-D-Lactose	160
0.052	D,L-a-Glycerol Phosphate	160
0.177	D-Malic Acid	160
0.086	Putrescine	160
0.055	a-D-Lactose	160
0.049	D,L-a-Glycerol Phosphate	160
0.047	D-Malic Acid	160
0.085	Putrescine	160
0.07	a-D-Lactose	160
0.083	D,L-a-Glycerol Phosphate	160
0.131	D-Malic Acid	160
0.183	Putrescine	160
0.044	Water	161
0.039	ß-Methyl-D-Glucoside	161
0.051	D-Galactonic Acid y-Lactone	161
0.049	L-Arginine	161
0.04	Water	161
0.046	ß-Methyl-D-Glucoside	161
0.09	D-Galactonic Acid y-Lactone	161
0.054	L-Arginine	161
0.042	Water	161
0.043	ß-Methyl-D-Glucoside	161
0.06	D-Galactonic Acid y-Lactone	161
0.052	L-Arginine	161
0.046	Pyruvic Acid Methyl Ester	161
0.044	D-Xylose	161
0.042	D-Galacturonic Acid	161
0.055	L-Asparagine	161
0.101	Pyruvic Acid Methyl Ester	161
0.045	D-Xylose	161
1.302	D-Galacturonic Acid	161
0.068	L-Asparagine	161
0.038	Pyruvic Acid Methyl Ester	161
0.047	D-Xylose	161
0.061	D-Galacturonic Acid	161
0.049	L-Asparagine	161
0.058	Tween 40	161
0.036	i-Erythritol	161
0.049	2-Hydroxy Benzoid Acid	161
0.196	L-Phenylalanine	161
0.047	Tween 40	161
0.267	i-Erythritol	161
1.472	2-Hydroxy Benzoid Acid	161
0.092	L-Phenylalanine	161
0.048	Tween 40	161
0.053	i-Erythritol	161
0.209	2-Hydroxy Benzoid Acid	161
0.05	L-Phenylalanine	161
0.055	Tween 80	161
0.049	D-Mannitol	161
0.043	4-Hydroxy Benzoid Acid	161
0.037	L-Serine	161
0.046	Tween 80	161
0.041	D-Mannitol	161
0.358	4-Hydroxy Benzoid Acid	161
0.045	L-Serine	161
0.045	Tween 80	161
0.039	D-Mannitol	161
0.056	4-Hydroxy Benzoid Acid	161
0.077	L-Serine	161
0.045	a-Cyclodextrin	161
0.04	N-Accetyl-D-Glucosamine	161
0.066	y-Amino Butyric Acid	161
0.048	L-Threonine	161
0.039	a-Cyclodextrin	161
0.181	N-Accetyl-D-Glucosamine	161
0.319	y-Amino Butyric Acid	161
0.045	L-Threonine	161
0.044	a-Cyclodextrin	161
0.053	N-Accetyl-D-Glucosamine	161
0.156	y-Amino Butyric Acid	161
0.064	L-Threonine	161
0.056	Glycogen	161
0.034	D-Glucosaminic Acid	161
0.037	Itaconic Acid	161
0.038	Glycyl-L-Glutamic Acid	161
0.048	Glycogen	161
0.044	D-Glucosaminic Acid	161
0.074	Itaconic Acid	161
0.046	Glycyl-L-Glutamic Acid	161
0.322	Glycogen	161
0.056	D-Glucosaminic Acid	161
0.109	Itaconic Acid	161
0.113	Glycyl-L-Glutamic Acid	161
0.045	D-Cellobiose	161
0.039	Glucose-1-Phosphate	161
0.04	a-Keto Butyric Acid	161
0.037	Phenethylamine	161
0.038	D-Cellobiose	161
0.04	Glucose-1-Phosphate	161
0.221	a-Keto Butyric Acid	161
0.038	Phenethylamine	161
0.044	D-Cellobiose	161
0.041	Glucose-1-Phosphate	161
0.102	a-Keto Butyric Acid	161
0.093	Phenethylamine	161
0.055	a-D-Lactose	161
0.044	D,L-a-Glycerol Phosphate	161
0.047	D-Malic Acid	161
0.039	Putrescine	161
0.045	a-D-Lactose	161
0.05	D,L-a-Glycerol Phosphate	161
0.053	D-Malic Acid	161
0.043	Putrescine	161
0.045	a-D-Lactose	161
0.044	D,L-a-Glycerol Phosphate	161
0.105	D-Malic Acid	161
0.142	Putrescine	161
0.046	Water	162
0.041	ß-Methyl-D-Glucoside	162
0.048	D-Galactonic Acid y-Lactone	162
0.087	L-Arginine	162
0.043	Water	162
0.052	ß-Methyl-D-Glucoside	162
0.061	D-Galactonic Acid y-Lactone	162
0.065	L-Arginine	162
0.058	Water	162
0.047	ß-Methyl-D-Glucoside	162
0.053	D-Galactonic Acid y-Lactone	162
