OTU ID	P1F5	P2F3	P1F1	P1F4	P4F2	P10F2	P1F3	P1F2	P3F5	P4F3	P10F4	P5F4	P9F4	P8F2	P8F1	P3F1	P3F3	P3F4	P7F3	P6F2	P4F4	P9F2	P5F5	P10F3	P3F2	P7F2	P5F2	P4F5	P8F3	P5F3	P6F3	P9F3	P8F4	P4F1	P9F1	P7F4	P7F1	P6F4	P5F1	P7F5	P9F5	P6F1
180ed1cd4fafc390ffc300108ccf648e	4497.0	9.0	3319.0	1253.0	137.0	14.0	5829.0	2017.0	5005.0	45.0	10.0	163.0	1288.0	23.0	0.0	82.0	1192.0	1586.0	144.0	11.0	8.0	869.0	124.0	2.0	1382.0	147.0	162.0	12.0	0.0	162.0	36.0	679.0	121.0	0.0	980.0	58.0	73.0	3.0	116.0	113.0	1156.0	0.0
a54095a893fd5abc045d162bbe20644a	253.0	0.0	109.0	177.0	0.0	7.0	103.0	76.0	177.0	2.0	6.0	66.0	100.0	18.0	2.0	35.0	149.0	30.0	48.0	0.0	5.0	174.0	28.0	2.0	24.0	38.0	0.0	0.0	12.0	0.0	38.0	178.0	3.0	0.0	103.0	42.0	21.0	1.0	0.0	15.0	51.0	2.0
94fc02cb626b227105e3b90cc5900802	228.0	0.0	110.0	57.0	4.0	0.0	485.0	116.0	399.0	2.0	0.0	2.0	157.0	0.0	0.0	3.0	84.0	102.0	9.0	0.0	0.0	38.0	1.0	0.0	66.0	10.0	10.0	0.0	0.0	10.0	0.0	27.0	0.0	0.0	57.0	4.0	3.0	0.0	5.0	2.0	60.0	0.0
b2bd82395b4b54483bd4906df3e8b5d5	160.0	134.0	125.0	141.0	87.0	20.0	115.0	81.0	87.0	46.0	35.0	66.0	172.0	42.0	33.0	29.0	70.0	115.0	147.0	49.0	61.0	81.0	46.0	0.0	6.0	47.0	60.0	25.0	3.0	65.0	133.0	41.0	59.0	0.0	45.0	81.0	69.0	8.0	57.0	46.0	68.0	43.0
3e9b07d18a24ab8f9b973fc87024c5fa	102.0	0.0	58.0	51.0	0.0	7.0	44.0	40.0	50.0	2.0	12.0	18.0	43.0	6.0	4.0	5.0	148.0	24.0	27.0	2.0	3.0	170.0	7.0	0.0	28.0	15.0	6.0	0.0	2.0	3.0	33.0	146.0	0.0	0.0	95.0	20.0	11.0	0.0	2.0	10.0	21.0	0.0
9af604229897c70de75a7740fe13e80d	88.0	65.0	126.0	31.0	126.0	56.0	33.0	27.0	59.0	105.0	85.0	62.0	53.0	73.0	122.0	15.0	43.0	16.0	32.0	69.0	40.0	28.0	19.0	0.0	4.0	22.0	7.0	70.0	78.0	16.0	32.0	17.0	43.0	0.0	16.0	21.0	10.0	23.0	20.0	18.0	22.0	20.0
149bd003afc4f4dcb1ce23429c8918fb	67.0	3.0	7.0	12.0	8.0	5.0	3.0	5.0	15.0	3.0	9.0	2.0	2.0	0.0	0.0	16.0	8.0	0.0	51.0	0.0	0.0	4.0	6.0	0.0	4.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	39.0	12.0	0.0	4.0	16.0	0.0	0.0
4054cc7af14cf388bf9e99f58e23bd67	64.0	39.0	49.0	95.0	50.0	19.0	59.0	53.0	50.0	31.0	15.0	35.0	98.0	45.0	53.0	4.0	19.0	39.0	123.0	54.0	13.0	15.0	19.0	0.0	0.0	10.0	32.0	51.0	49.0	59.0	46.0	16.0	30.0	0.0	15.0	29.0	24.0	6.0	55.0	19.0	50.0	8.0
95e0eb4360c754169478a253e5fa6686	64.0	112.0	35.0	51.0	109.0	81.0	52.0	39.0	36.0	68.0	28.0	40.0	67.0	71.0	70.0	16.0	14.0	44.0	72.0	71.0	63.0	20.0	38.0	0.0	4.0	21.0	27.0	64.0	75.0	29.0	28.0	12.0	66.0	0.0	23.0	23.0	20.0	28.0	30.0	17.0	33.0	40.0
4561555de951444c25dda4400a594bd0	59.0	0.0	5.0	0.0	2.0	0.0	0.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	6.0	0.0	4.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0
d05179df30e3fd67aa7731ed64f89576	58.0	6.0	32.0	25.0	164.0	1.0	43.0	25.0	47.0	32.0	3.0	59.0	27.0	4.0	5.0	33.0	35.0	2.0	13.0	236.0	0.0	45.0	25.0	0.0	5.0	14.0	4.0	150.0	18.0	3.0	5.0	35.0	0.0	0.0	39.0	6.0	3.0	9.0	4.0	24.0	36.0	5.0
ad5933694cf3e4fb3534ea48fbd0bb5f	54.0	19.0	33.0	60.0	0.0	0.0	47.0	44.0	58.0	0.0	0.0	42.0	42.0	5.0	6.0	14.0	50.0	18.0	24.0	0.0	23.0	51.0	16.0	0.0	3.0	15.0	0.0	0.0	0.0	0.0	19.0	36.0	27.0	0.0	23.0	20.0	15.0	5.0	0.0	20.0	23.0	11.0
7827defa226f025727dd0d1866cb5bba	53.0	16.0	30.0	122.0	9.0	11.0	45.0	58.0	28.0	11.0	15.0	29.0	79.0	10.0	20.0	5.0	5.0	28.0	11.0	4.0	5.0	45.0	8.0	0.0	7.0	11.0	3.0	7.0	12.0	18.0	25.0	4.0	1.0	0.0	63.0	11.0	11.0	8.0	7.0	11.0	39.0	7.0
fe3e3ae2292fe20e533f985b31489ead	53.0	2.0	31.0	60.0	2.0	5.0	35.0	39.0	28.0	5.0	2.0	38.0	27.0	1.0	4.0	14.0	11.0	2.0	43.0	9.0	0.0	15.0	43.0	0.0	0.0	14.0	5.0	2.0	4.0	18.0	10.0	3.0	2.0	0.0	3.0	43.0	16.0	1.0	6.0	15.0	18.0	4.0
b2c323397d1707ea1f8667944c8862ac	51.0	3.0	39.0	58.0	13.0	6.0	48.0	43.0	32.0	8.0	7.0	33.0	65.0	8.0	7.0	8.0	10.0	38.0	63.0	8.0	4.0	25.0	15.0	0.0	3.0	26.0	11.0	9.0	3.0	23.0	53.0	23.0	4.0	0.0	13.0	27.0	21.0	4.0	29.0	21.0	34.0	0.0
7b6ea0c680b25aa21d4629e8a7bcf3e1	50.0	8.0	49.0	194.0	0.0	0.0	27.0	25.0	56.0	0.0	0.0	0.0	63.0	4.0	0.0	3.0	0.0	0.0	4.0	3.0	10.0	0.0	2.0	0.0	0.0	2.0	4.0	3.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	4.0	2.0	6.0	3.0	0.0	42.0	3.0
9995306be33bb6a067fbd14fd12ab247	49.0	5.0	30.0	8.0	23.0	5.0	9.0	17.0	16.0	11.0	6.0	41.0	13.0	16.0	5.0	74.0	16.0	2.0	10.0	32.0	6.0	33.0	41.0	0.0	6.0	38.0	7.0	13.0	0.0	25.0	0.0	31.0	2.0	0.0	24.0	10.0	14.0	5.0	23.0	25.0	5.0	2.0
203d4e6b8618c1517c4fa0f17a5dfea5	46.0	14.0	28.0	52.0	12.0	15.0	42.0	45.0	32.0	11.0	8.0	17.0	50.0	16.0	14.0	7.0	15.0	33.0	45.0	9.0	13.0	12.0	24.0	0.0	2.0	10.0	17.0	6.0	15.0	15.0	24.0	4.0	4.0	0.0	6.0	24.0	5.0	5.0	14.0	5.0	31.0	6.0
7ab020cd91721d55f97f9a027bf46370	44.0	6.0	27.0	26.0	20.0	4.0	24.0	23.0	12.0	8.0	16.0	10.0	39.0	7.0	25.0	12.0	21.0	34.0	18.0	14.0	5.0	6.0	9.0	0.0	3.0	3.0	14.0	5.0	9.0	18.0	23.0	11.0	9.0	0.0	12.0	11.0	2.0	3.0	19.0	6.0	17.0	2.0
2568979ffe188f1f080b4453bcb7b30c	43.0	37.0	29.0	50.0	24.0	10.0	37.0	37.0	38.0	12.0	15.0	41.0	54.0	20.0	15.0	19.0	23.0	32.0	50.0	15.0	26.0	29.0	33.0	0.0	0.0	19.0	30.0	6.0	15.0	21.0	55.0	9.0	26.0	0.0	13.0	23.0	42.0	15.0	8.0	32.0	30.0	17.0
84f3307147fc464a6a2dd50aa4502e7d	43.0	30.0	28.0	37.0	31.0	20.0	26.0	28.0	21.0	18.0	14.0	45.0	58.0	25.0	31.0	20.0	18.0	20.0	102.0	14.0	18.0	7.0	13.0	0.0	0.0	4.0	71.0	11.0	13.0	46.0	23.0	9.0	17.0	0.0	4.0	35.0	27.0	7.0	33.0	28.0	16.0	7.0
c5d01fbd1e4b1d8a1a943c0c2d930610	42.0	0.0	11.0	43.0	2.0	0.0	10.0	22.0	43.0	0.0	0.0	2.0	44.0	0.0	0.0	0.0	2.0	0.0	15.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	5.0	15.0	0.0
08b3d5a40451e161731ff1ea8868f21f	40.0	1.0	0.0	1.0	0.0	4.0	9.0	14.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	10.0	10.0	17.0	0.0	0.0	0.0	26.0	8.0	0.0	1.0	5.0	2.0	0.0	0.0	3.0	10.0	10.0	0.0	0.0	10.0	18.0	0.0	0.0	0.0	13.0	0.0	0.0
a1debcf8774e75b824b3813e69cf9e09	40.0	2.0	12.0	19.0	7.0	7.0	18.0	17.0	11.0	0.0	5.0	16.0	21.0	4.0	3.0	5.0	12.0	8.0	22.0	2.0	0.0	3.0	2.0	0.0	2.0	7.0	23.0	0.0	0.0	7.0	15.0	3.0	2.0	0.0	6.0	10.0	18.0	0.0	11.0	6.0	7.0	0.0
515a2bd23e336329c798ef718ec6519d	37.0	8.0	16.0	27.0	20.0	20.0	28.0	18.0	27.0	14.0	18.0	29.0	41.0	22.0	22.0	4.0	6.0	19.0	56.0	13.0	4.0	13.0	16.0	0.0	0.0	11.0	9.0	10.0	13.0	22.0	29.0	7.0	11.0	0.0	0.0	20.0	6.0	0.0	30.0	6.0	24.0	3.0
f72f28e83cc983d9747538969084cded	36.0	34.0	17.0	31.0	3.0	2.0	25.0	31.0	23.0	1.0	3.0	7.0	39.0	2.0	1.0	9.0	16.0	16.0	14.0	0.0	20.0	9.0	5.0	0.0	0.0	10.0	0.0	0.0	2.0	1.0	20.0	11.0	19.0	0.0	5.0	20.0	27.0	4.0	5.0	4.0	29.0	12.0
762969ba3e9e5dd187ad831199798d8c	34.0	3.0	14.0	4.0	0.0	0.0	6.0	11.0	16.0	0.0	1.0	0.0	0.0	10.0	16.0	3.0	19.0	0.0	1.0	0.0	0.0	36.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	15.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0
adb51b2cde425c3a913c98985f423d66	33.0	3.0	14.0	9.0	0.0	0.0	10.0	8.0	19.0	2.0	0.0	36.0	5.0	0.0	0.0	26.0	7.0	2.0	0.0	2.0	0.0	12.0	16.0	0.0	2.0	5.0	2.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	9.0	0.0	2.0	0.0	0.0	14.0	5.0	2.0
da4028e07d8c8008f442d363d6cf23c1	32.0	0.0	12.0	17.0	0.0	2.0	10.0	18.0	15.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	4.0	3.0	0.0	0.0	1.0	0.0	10.0	1.0
defd746942c3ea80fd3a35f26972a2d7	32.0	11.0	19.0	34.0	9.0	11.0	17.0	16.0	22.0	6.0	0.0	18.0	27.0	6.0	4.0	21.0	27.0	9.0	30.0	8.0	0.0	19.0	22.0	0.0	2.0	14.0	13.0	2.0	2.0	16.0	9.0	5.0	8.0	0.0	5.0	10.0	7.0	2.0	13.0	10.0	8.0	5.0
825358495f973edb08bf9fd0b471e20f	31.0	40.0	10.0	6.0	12.0	3.0	20.0	15.0	12.0	4.0	9.0	14.0	18.0	0.0	4.0	16.0	0.0	7.0	9.0	7.0	28.0	4.0	17.0	0.0	0.0	3.0	25.0	1.0	2.0	9.0	1.0	7.0	13.0	0.0	1.0	11.0	14.0	10.0	4.0	11.0	12.0	10.0
5423ef803850a519dd3a59044d047810	30.0	6.0	43.0	14.0	26.0	0.0	8.0	1.0	27.0	4.0	0.0	16.0	19.0	2.0	2.0	14.0	5.0	2.0	7.0	7.0	3.0	11.0	15.0	0.0	0.0	3.0	21.0	9.0	2.0	15.0	3.0	4.0	2.0	0.0	6.0	3.0	4.0	19.0	5.0	7.0	8.0	2.0
e955a869055b556bc21577bc2c914c77	30.0	15.0	89.0	7.0	30.0	4.0	18.0	12.0	14.0	20.0	13.0	5.0	12.0	12.0	15.0	3.0	6.0	5.0	5.0	13.0	10.0	7.0	0.0	0.0	0.0	3.0	0.0	23.0	11.0	2.0	2.0	9.0	13.0	0.0	16.0	0.0	4.0	4.0	6.0	7.0	3.0	4.0
03fb2ba970c07a7aafe02a2171147443	30.0	7.0	9.0	22.0	5.0	3.0	5.0	5.0	11.0	2.0	5.0	12.0	9.0	2.0	4.0	5.0	6.0	10.0	16.0	4.0	3.0	6.0	0.0	0.0	0.0	10.0	4.0	0.0	4.0	10.0	8.0	3.0	7.0	0.0	6.0	6.0	3.0	2.0	11.0	2.0	4.0	2.0
dbec1ae1d59a418be80e14d4a133eb04	29.0	2.0	18.0	24.0	25.0	5.0	26.0	14.0	11.0	5.0	3.0	13.0	36.0	6.0	2.0	12.0	11.0	15.0	43.0	5.0	0.0	9.0	13.0	0.0	0.0	12.0	4.0	7.0	2.0	17.0	16.0	4.0	0.0	0.0	1.0	12.0	15.0	0.0	14.0	6.0	12.0	0.0
7a07a867e990826d4147e62e12ef47af	29.0	0.0	6.0	14.0	0.0	10.0	4.0	13.0	14.0	0.0	0.0	0.0	6.0	3.0	3.0	2.0	9.0	2.0	4.0	0.0	0.0	9.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	2.0	2.0	25.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
c606875d1e5ab1fec3ffbd61e0e2d52a	29.0	0.0	13.0	5.0	2.0	0.0	9.0	9.0	14.0	4.0	4.0	33.0	11.0	5.0	7.0	10.0	11.0	4.0	10.0	5.0	2.0	17.0	10.0	0.0	0.0	7.0	15.0	3.0	2.0	9.0	6.0	8.0	0.0	0.0	4.0	11.0	7.0	0.0	15.0	4.0	6.0	0.0
f660b3cca1f9a42157685da29a508353	28.0	0.0	12.0	18.0	0.0	0.0	11.0	14.0	13.0	0.0	0.0	0.0	9.0	0.0	0.0	2.0	12.0	7.0	4.0	0.0	0.0	15.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	18.0	0.0	0.0	12.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0
8a9900751e98a0973b4a1c349abc1374	28.0	44.0	19.0	37.0	10.0	5.0	23.0	27.0	16.0	7.0	5.0	26.0	34.0	5.0	6.0	8.0	21.0	33.0	41.0	12.0	44.0	9.0	10.0	0.0	4.0	18.0	13.0	2.0	0.0	22.0	47.0	12.0	29.0	0.0	12.0	24.0	10.0	18.0	13.0	7.0	21.0	6.0
65ad974d9aceecd94c35221f779eb1d2	27.0	15.0	23.0	26.0	9.0	11.0	29.0	24.0	24.0	8.0	10.0	26.0	19.0	11.0	2.0	12.0	8.0	17.0	37.0	1.0	12.0	22.0	21.0	0.0	2.0	22.0	89.0	0.0	2.0	9.0	15.0	4.0	6.0	0.0	11.0	13.0	25.0	2.0	11.0	14.0	11.0	5.0
f2aefb643208b88ff9af43b4b6862e0a	27.0	1.0	17.0	4.0	75.0	41.0	10.0	9.0	22.0	64.0	25.0	16.0	12.0	62.0	62.0	6.0	3.0	2.0	9.0	61.0	1.0	20.0	2.0	0.0	4.0	8.0	3.0	57.0	18.0	25.0	3.0	20.0	0.0	0.0	11.0	8.0	8.0	3.0	0.0	5.0	5.0	0.0
5b18b9b74c679bef8e23dc15f3626915	27.0	109.0	48.0	46.0	49.0	35.0	43.0	37.0	40.0	24.0	47.0	17.0	67.0	42.0	62.0	3.0	14.0	19.0	44.0	21.0	76.0	8.0	9.0	0.0	0.0	9.0	13.0	25.0	36.0	34.0	14.0	10.0	89.0	0.0	12.0	18.0	18.0	20.0	24.0	16.0	33.0	46.0
2d67c6fafb8d193716759edfcb0dde30	27.0	0.0	10.0	42.0	0.0	0.0	30.0	16.0	14.0	2.0	1.0	0.0	20.0	6.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	0.0
1519eae2900c96b2f7a287791e53d925	27.0	4.0	13.0	27.0	2.0	8.0	20.0	22.0	16.0	2.0	5.0	10.0	25.0	7.0	0.0	2.0	8.0	9.0	25.0	1.0	3.0	20.0	13.0	0.0	2.0	9.0	2.0	0.0	4.0	1.0	6.0	0.0	2.0	0.0	6.0	22.0	7.0	0.0	3.0	7.0	10.0	0.0
44a889feef907ffb122804a6177a02a0	26.0	0.0	57.0	5.0	20.0	5.0	7.0	8.0	34.0	5.0	0.0	17.0	21.0	7.0	0.0	16.0	12.0	9.0	17.0	30.0	4.0	22.0	6.0	0.0	5.0	11.0	21.0	35.0	2.0	24.0	0.0	21.0	3.0	0.0	12.0	0.0	2.0	3.0	10.0	13.0	4.0	2.0
