Carbon	P2	P8	P7	P5	P9	P1	P3	P6	P4	P10
D-Galactonic Acid y-Lactone2	2.883	2.409	1.691	2.829	1.894	2.176	1.569	2.716	1.703	1.68597
D-Galacturonic Acid2	2.663	2.987	1.758	3.043	1.718	1.878	1.771	3.03	1.819	1.80081
2-Hydroxy Benzoid Acid2	0.419	0.393	2.09	2.465	0.329	2.603	0.489	0.546	0.391	0.38709
4-Hydroxy Benzoid Acid2	2.384	2.31	1.94	2.322	2.707	2.411	2.289	2.963	2.66	2.6334
y-Amino Butyric Acid2	3.312	3.5	2.229	1.439	2.856	3.033	2.973	3.37	3.5	3.465
Itaconic Acid2	2.546	1.887	1.695	0.124	1.994	2.62	2.026	0.932	1.923	1.90377
a-Keto Butyric Acid2	0.364	0.629	0.606	0.211	0.9	1.008	0.278	0.699	0.732	0.72468
D-Malic Acid2	2.486	3.431	3.382	2.514	2.235	2.596	2.327	3.001	3.197	3.16503
L-Arginine2	2.501	2.352	2.026	3.381	1.619	3.5	3.5	3.38	3.5	3.465
L-Asparagine2	3.146	3.388	2.457	3.421	2.898	2.809	3.111	3.5	2.912	2.88288
L-Phenylalanine2	0.854	1.284	1.11	0.297	1.528	0.787	0.458	0.886	1.085	1.07415
L-Serine2	3.133	2.617	2.02	2.735	2.756	2.379	2.536	2.545	2.354	2.33046
L-Threonine2	0.3	0.637	0.363	0.32	0.496	0.726	0.245	0.945	0.339	0.33561
Glycyl-L-Glutamic Acid2	0.539	0.745	0.553	0.781	0.857	0.942	0.662	0.849	0.526	0.52074
Phenethylamine2	2.183	2.696	1.519	1.511	1.561	3.177	2.76	2.527	2.911	2.88189
Putrescine2	2.663	2.35	2.692	3.001	2.577	3.028	2.385	3.5	2.284	2.26116
